"age","hCFR_icu","hCFR_hosp"
0,0.00429625557506085,0.000356417457051777
1,0.0111732897521619,0.00011359388140355
2,0.0129693308675388,7.92868646459557e-05
3,0.00904096397498657,0.00014510659483079
4,0.00388997834956684,2.02640653707969e-05
5,0.0116614980911824,0.000140020167763112
6,0.00840801742386759,7.38901217117261e-05
7,0.00512285097262307,0.000126443445875591
8,0.00487828589312615,6.65445386813461e-05
9,0.00956787746153558,0.000118070220094086
10,0.0118382267436136,8.4068929472243e-05
11,0.00728142021503587,6.11098818577203e-05
12,0.00833674512436203,0.000230752537613198
13,0.0136403043033846,0.000237968282733312
14,0.0145600016485291,0.000180985809706094
15,0.022671211911906,5.41170225565477e-05
16,0.0122445645320419,0.00025064964034791
17,0.00815000776955098,0.000123525639117704
18,0.0171394177379137,0.000206885364172861
19,0.0114894220215737,0.000194286559703285
20,0.00880918283435067,0.000226998534751179
21,0.0127086353895266,0.000159443232826235
22,0.0169921392598578,0.000248980076790083
23,0.0157510610032505,0.000248852902920361
24,0.0200005462326544,0.000138574974363011
25,0.0431074181455427,4.43954927283257e-07
26,0.022160454607813,0.000251341177979386
27,0.0503528841456022,9.71332959276642e-05
28,0.0429005422783284,0.000224198101823467
29,0.0594033983463833,0.000312426511764589
30,0.0385501822924094,0.000206692543791111
31,0.0433500725117356,0.00015945707680013
32,0.0516664727646914,0.000196243560729457
33,0.0372498947251257,6.0645245450409e-05
34,0.0606909549923479,0.000278061128092945
35,0.0427086823176053,0.000145118397095928
36,0.00797077713907782,0.000426671589343189
37,0.00738530885145053,0.000524002160179771
38,0.0203634843875822,0.000281028195162949
39,0.0210007555523724,0.000166197771620045
40,0.0207945164703211,0.000590905648306768
41,0.0134370896015837,0.000313393595214022
42,0.00956926719188944,0.000529624678846713
43,0.00812742767659338,0.000226297173572802
44,0.0162716569798509,0.000714421870345322
45,0.00818798753790856,0.000279848227033014
46,0.0134950196535589,0.00041873446427024
47,0.0183615956999873,0.000320895030335804
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
